Campaign ID,Campaign Name,Audience,Age,Geography,Reach,Impressions,Frequency,Clicks,Unique Clicks,Unique Link Clicks (ULC),Click-Through Rate (CTR),Unique Click-Through Rate (Unique CTR),Amount Spent in INR,Cost per Result (CPR),Cost Per Click (CPC),Revenue
Campaign 1,SHU_6 (Educators and Principals),Educators and Principals,25-34,"Group 1 (Australia, Canada, United Kingdom, Ghana, Nigeria, Pakistan, United States)",11387,23283,2.044700097,487,406,180,2.09165486,3.56546939,1092.24,6.07,2.24279009,1092.238774
Campaign 1,SHU_6 (Educators and Principals),Educators and Principals,55-64,"Group 1 (Australia, Canada, United Kingdom, Ghana, Nigeria, Pakistan, United States)",889,1890,2.125984252,49,40,21,2.59259259,4.49943757,86.25,4.11,1.76011659,86.24571291
Campaign 1,SHU_6 (Educators and Principals),Educators and Principals,35-44,"Group 1 (Australia, Canada, United Kingdom, Ghana, Nigeria, Pakistan, United States)",8761,15683,1.790092455,484,376,154,3.08614423,4.29174752,835.46,5.43,1.72616538,835.4640439
Campaign 1,SHU_6 (Educators and Principals),Educators and Principals,45-54,"Group 1 (Australia, Canada, United Kingdom, Ghana, Nigeria, Pakistan, United States)",2867,6283,2.191489362,198,145,65,3.15136081,5.05755145,319.38,4.91,1.61303773,319.3814705
Campaign 10,SHU_Students(UK),Students,13-17,UK,2557,2941,1.150175987,69,60,33,2.34614077,2.3464998,487.52,14.77,7.06550725,487.5200003
Campaign 10,SHU_Students(UK),Students,25-34,UK,338,365,1.079881657,13,11,4,3.56164384,3.25443787,113.58,28.4,8.73692308,113.58
Campaign 10,SHU_Students(UK),Students,18-24,UK,741,785,1.059379217,39,34,20,4.96815287,4.58839406,255.57,12.78,6.55307692,255.5699999
Campaign 11,SHU_Students (USA),Students,25-34,USA,91,103,1.131868132,9,8,3,8.73786408,8.79120879,47.26,15.75,5.25140438,47.26263942
Campaign 11,SHU_Students (USA),Students,13-17,USA,2159,2465,1.141732283,126,111,95,5.11156187,5.14126911,691.28,7.28,5.48635819,691.2811319
Campaign 11,SHU_Students (USA),Students,18-24,USA,305,332,1.08852459,43,37,28,12.95180723,12.13114754,159.14,5.68,3.70084252,159.1362284
Campaign 2,SHU3_ (Students Apart from India and US),Students,13-17,"Group 2 (Australia, Canada, United Kingdom, Ghana, Niger, Nigeria, Nepal, Pakistan, Thailand, Taiwan)",14753,25705,1.742357487,969,698,435,3.76969461,4.7312411,299.51,0.69,0.30908815,299.5064174
Campaign 2,SHU3_ (Students Apart from India and US),Students,18-24,"Group 2 (Australia, Canada, United Kingdom, Ghana, Niger, Nigeria, Nepal, Pakistan, Thailand, Taiwan)",29675,39161,1.319663016,2593,1994,1095,6.62138352,6.71946083,1193.94,1.09,0.46044803,1193.941742
Campaign 2,SHU3_ (Students Apart from India and US),Students,25-34,"Group 2 (Australia, Canada, United Kingdom, Ghana, Niger, Nigeria, Nepal, Pakistan, Thailand, Taiwan)",2066,2447,1.184414327,181,141,65,7.39681242,6.82478219,85.57,1.32,0.47277255,85.57183155
Campaign 3,SHU_Students(Australia),Students,13-17,Australia,2271,2616,1.151915456,61,55,28,2.33180428,2.4218406,475.85,16.99,7.80079301,475.8483736
Campaign 3,SHU_Students(Australia),Students,25-34,Australia,212,222,1.047169811,9,8,3,4.05405405,3.77358491,91.66,30.55,10.18469247,91.66223223
Campaign 3,SHU_Students(Australia),Students,18-24,Australia,704,734,1.042613636,49,46,13,6.67574932,6.53409091,283.17,21.78,5.77896722,283.1693938
Campaign 4,SHU_Students (Canada),Students,13-17,Canada,2330,3146,1.350214592,101,84,63,3.21042594,3.60515021,528.08,8.38,5.22848787,528.0772749
